count,title,dept_name
3,Engineer,Customer Service
12,Senior Engineer,Customer Service
85,Senior Staff,Customer Service
25,Staff,Customer Service
3,Technique Leader,Customer Service
12,Assistant Engineer,Development
110,Engineer,Development
268,Senior Engineer,Development
9,Senior Staff,Development
2,Staff,Development
34,Technique Leader,Development
61,Senior Staff,Finance
13,Staff,Finance
86,Senior Staff,Human Resources
21,Staff,Human Resources
104,Senior Staff,Marketing
22,Staff,Marketing
17,Assistant Engineer,Production
64,Engineer,Production
233,Senior Engineer,Production
6,Senior Staff,Production
1,Staff,Production
35,Technique Leader,Production
1,Assistant Engineer,Quality Management
26,Engineer,Quality Management
60,Senior Engineer,Quality Management
10,Technique Leader,Quality Management
6,Engineer,Research
13,Senior Engineer,Research
71,Senior Staff,Research
21,Staff,Research
2,Technique Leader,Research
210,Senior Staff,Sales
62,Staff,Sales
